week_eviction,marshalevictions
2022-10-24,109
2022-10-31,147
2022-11-07,107
2022-11-14,165
2022-11-21,103
2022-11-28,157
2022-12-05,125
2022-12-12,94
2022-12-19,59
2022-12-26,7
2023-01-02,242
2023-01-09,168
2023-01-16,112
2023-01-23,175
2023-01-30,150
2023-02-06,146
2023-02-13,137
2023-02-20,126
2023-02-27,192
2023-03-06,134
2023-03-13,150
2023-03-20,173
2023-03-27,163
2023-04-03,166
2023-04-10,144
2023-04-17,162
2023-04-24,152
2023-05-01,171
2023-05-08,158
2023-05-15,225
2023-05-22,209
2023-05-29,204
2023-06-05,225
2023-06-12,278
2023-06-19,218
2023-06-26,282
2023-07-03,217
2023-07-10,266
2023-07-17,205
2023-07-24,222
2023-07-31,264
2023-08-07,224
2023-08-14,245
2023-08-21,270
2023-08-28,267
2023-09-04,223
2023-09-11,271
2023-09-18,244
2023-09-25,216
2023-10-02,265
2023-10-09,271
2023-10-16,283
2023-10-23,255
2023-10-30,257
2023-11-06,162
2023-11-13,285
2023-11-20,150
2023-11-27,288
2023-12-04,285
2023-12-11,272
2023-12-18,104
2023-12-25,11
2024-01-01,289
2024-01-08,266
2024-01-15,194
2024-01-22,303
2024-01-29,284
2024-02-05,282
2024-02-12,224
2024-02-19,203
2024-02-26,294
2024-03-04,266
2024-03-11,233
2024-03-18,188
2024-03-25,197
2024-04-01,235
2024-04-08,235
2024-04-15,261
2024-04-22,194
2024-04-29,205
2024-05-06,274
2024-05-13,228
2024-05-20,251
2024-05-27,201
2024-06-03,271
2024-06-10,220
2024-06-17,236
2024-06-24,254
2024-07-01,203
2024-07-08,262
2024-07-15,229
2024-07-22,298
2024-07-29,319
2024-08-05,272
2024-08-12,262
2024-08-19,294
2024-08-26,253
2024-09-02,215
2024-09-09,346
2024-09-16,253
2024-09-23,275
2024-09-30,320
2024-10-07,301
2024-10-14,268
2024-10-21,299
2024-10-28,282
2024-11-04,209
2024-11-11,2
