zipcode,filings_since_032320,unitsres_total,unitsrental,filingsrate_2plus
11096,1,0,,
11101,1357,31449,30974,43
11102,812,17021,16852,48
11103,659,17287,16908,38
11104,1006,13138,12728,79
11105,1082,16710,15771,68
11106,869,19949,19762,43
11109,229,3352,3352,68
11111,4,,,
11201,1001,41563,40872,24
11202,7,,,
11203,4082,27575,23738,171
11204,944,29574,27516,34
11205,1075,18613,18470,58
11206,2165,35607,35499,60
11207,5590,34090,31966,174
11208,4351,30304,28525,152
11209,1541,32769,29807,51
11210,3566,23331,18202,195
11211,1269,30426,30224,41
11212,6316,33193,31611,199
11213,4794,26637,25920,184
11214,2023,33308,32250,62
11215,526,33236,32317,16
11216,2612,26950,26550,98
11217,863,21878,21611,39
11218,1420,27071,25691,55
11219,1020,29025,28595,35
11220,1313,29506,28897,45
11221,3824,35004,34626,110
11222,666,21911,21712,30
11223,1675,29056,26525,63
11224,1927,21290,20068,96
11225,4845,25017,23741,204
11226,9042,40532,39402,229
11227,1,,,
11228,297,15794,13381,22
11229,1455,31521,25316,57
11230,2995,32306,29066,103
11231,427,18201,17872,23
11232,412,9332,9211,44
11233,4231,29472,29274,144
11234,993,31072,20488,48
11235,2291,36418,34337,66
11236,2027,31007,28072,72
11237,1142,17449,17343,65
11238,1956,30015,29698,65
11239,1853,10059,9752,190
11241,1,0,0,
11242,4,,,
11247,1,,,
11249,991,17824,17781,55
11266,1,,,
11332,1,,,
11335,1,,,
11347,5,,,
11354,1240,60509,58471,21
11355,1962,31886,29501,66
11356,301,8406,7012,42
11357,251,15989,9324,26
11358,421,13941,8585,49
11360,230,9159,7677,29
11361,337,11158,7295,46
11362,87,7001,4300,20
11363,100,2768,1130,88
11364,432,13920,9428,45
11365,1483,16834,12291,120
11366,129,8061,5353,24
11367,707,14651,11230,62
11368,5996,30498,29927,200
11369,459,10700,8682,52
11370,279,9435,8264,33
11371,2,0,0,
11372,2159,24863,24302,88
11373,2809,34441,32996,85
11374,1719,20592,18793,91
11375,1756,34453,29781,58
11376,1,,,
11377,1728,38680,36967,46
11378,338,13630,11149,30
11379,361,15135,10796,33
11381,1,,,
11382,1,,,
11383,2,,,
11384,1,,,
11385,1474,37861,35291,41
11386,5,,,
11405,1,,,
11410,1,,,
11411,221,5995,1412,156
11412,723,11348,5400,133
11413,752,12402,5995,125
11414,223,10696,7190,31
11415,1048,9195,8581,122
11416,354,7157,6393,55
11417,483,9536,7200,67
11418,834,11518,9866,84
11419,620,12164,8973,69
11420,564,13357,8461,66
11421,691,12198,9652,71
11422,524,9626,5871,89
11423,950,10091,6660,142
11424,10,,,
11425,3,,,
11426,143,6395,2909,49
11427,540,7734,4504,119
11428,342,5702,2489,137
11429,367,7155,3055,120
11430,1,0,0,
11431,3,,,
11432,3281,20700,17071,192
11433,1037,10800,7832,132
11434,2941,21579,15628,188
11435,2743,20528,18267,150
11436,295,6227,3434,85
11442,2,,,
11443,1,,,
11461,2,,,
11462,1,,,
11467,1,,,
11472,1,,,
11474,1,,,
11478,1,,,
11479,4,,,
11488,2,,,
11538,1,,,
11580,1,,,
11581,1,,,
11619,2,,,
11637,1,,,
11691,4696,21260,18956,247
11692,1040,8124,7728,134
11693,314,4691,3710,84
11694,617,9426,7554,81
11697,1,2838,2837,0
11699,1,,,
11708,1,,,
11732,1,,,
11790,1,,,
11791,1,,,
11962,4,,,
12035,2,,,
12226,1,,,
12231,1,,,
12249,1,,,
14063,1,,,
14413,1,,,
19451,1,,,
19458,4,,,
19459,1,,,
20027,1,,,
20467,1,,,
33579,1,,,
99999,5,,,
